X,frankfurt_urban_n_vehicles_mipv6.MA[5].tcp/rcvd seq
42.09437722855,1.02442e+07
42.095865202758,1.02447e+07
42.098927176965,1.02453e+07
42.100428170946,1.02458e+07
42.102005172666,1.02463e+07
42.102543173526,1.02469e+07
42.105356175246,1.02474e+07
42.106835176966,1.0248e+07
42.108774177825,1.02485e+07
42.110504179545,1.0249e+07
42.111123180405,1.02496e+07
42.115245183844,1.02501e+07
42.117185184704,1.02506e+07
42.157246958396,1.02512e+07
42.158303959256,1.02517e+07
42.159838960116,1.02522e+07
42.164600908529,1.02528e+07
42.16584591025,1.02533e+07
42.16702491111,1.02538e+07
42.168837911969,1.02544e+07
42.170543912829,1.02549e+07
42.171054913689,1.02555e+07
42.174377917989,1.0256e+07
42.176099919709,1.02565e+07
42.176592920569,1.02571e+07
42.182500566971,1.02576e+07
42.189773151638,1.02581e+07
42.220359066624,1.02587e+07
42.222236081066,1.02592e+07
42.223311095508,1.02597e+07
42.227551652044,1.02603e+07
42.228724653765,1.02608e+07
42.229885654625,1.02614e+07
42.232373655483,1.02619e+07
42.233915657204,1.02624e+07
42.234498671646,1.0263e+07
42.237813662364,1.02635e+07
42.239498664084,1.0264e+07
42.239973678526,1.02646e+07
42.245469310486,1.02651e+07
42.25538253925,1.02656e+07
42.285496193859,1.02662e+07
42.286178208301,1.02667e+07
42.288427237185,1.02672e+07
42.29047540235,1.02678e+07
42.291693404071,1.02683e+07
42.292827404931,1.02689e+07
42.295198405789,1.02694e+07
42.297945421952,1.02699e+07
42.299182436394,1.02705e+07
42.30056641938,1.0271e+07
42.303365435541,1.02715e+07
42.304377463403,1.02721e+07
42.309113067501,1.02726e+07
42.320374632486,1.02731e+07
42.348957965317,1.02737e+07
42.349978979759,1.02742e+07
42.351847007621,1.02748e+07
42.353489159366,1.02753e+07
42.355712187228,1.02758e+07
42.35684121509,1.02764e+07
42.358860162804,1.02769e+07
42.360860178968,1.02774e+07
42.36193519341,1.0278e+07
42.363806183106,1.02785e+07
42.366172199267,1.0279e+07
42.367382227129,1.02796e+07
42.372648831226,1.02801e+07
42.383757396211,1.02806e+07
42.411791735633,1.02812e+07
42.413533750075,1.02817e+07
42.414734777937,1.02823e+07
42.416853929681,1.02828e+07
42.418464957544,1.02833e+07
42.419809985406,1.02839e+07
42.42178393312,1.02844e+07
42.423693949284,1.02849e+07
42.428098963723,1.02855e+07
42.429044004765,1.0286e+07
42.59635545612,1.02865e+07
42.596929510166,1.02865e+07
42.597557564212,1.02871e+07
42.599072672304,1.02876e+07
42.59972772635,1.02881e+07
42.600793793326,1.02887e+07
42.601862860301,1.02892e+07
42.602391927277,1.02897e+07
42.602902994253,1.02903e+07
42.603441061229,1.02908e+07
42.606159329133,1.02913e+07
42.606751396109,1.02919e+07
42.607262463085,1.02924e+07
42.614128998893,1.0293e+07
42.615168065869,1.02935e+07
42.660373360587,1.0294e+07
42.661001427563,1.02946e+07
42.667649931044,1.02951e+07
42.66871599802,1.02956e+07
42.670033265925,1.02962e+07
42.672862399876,1.02967e+07
42.673847466852,1.02972e+07
42.674760533828,1.02978e+07
42.675415600804,1.02983e+07
42.676930734756,1.02988e+07
42.677978801732,1.02994e+07
42.679107868708,1.02999e+07
42.683718091121,1.03005e+07
42.684613158097,1.0301e+07
42.724068236721,1.03015e+07
42.725906395945,1.03021e+07
42.731661226977,1.03026e+07
42.734738070129,1.03031e+07
42.735231149741,1.03037e+07
42.736737308965,1.03042e+07
42.738926468189,1.03047e+07
42.739491547801,1.03053e+07
42.755391585571,1.03058e+07
42.756466665183,1.03064e+07
42.758648824407,1.03069e+07
42.759303904019,1.03074e+07
42.76561606324,1.0308e+07
42.766271142852,1.03085e+07
42.805749966936,1.0309e+07
42.806771058998,1.03096e+07
42.810438397846,1.03101e+07
42.811514874816,1.03106e+07
42.812940363954,1.03112e+07
42.819327778377,1.03117e+07
42.820519870439,1.03122e+07
42.822988054563,1.03128e+07
42.825651972069,1.03133e+07
42.828437923859,1.03139e+07
42.829030015921,1.03144e+07
42.829694107983,1.03149e+07
42.831155292107,1.03155e+07
42.834922861138,1.0316e+07
