X,frankfurt_urban_n_vehicles.MA[2].tcp/rcvd seq
204.068159168399,4.63647e+07
204.068646094199,4.63652e+07
204.069142019999,4.63658e+07
204.070550945799,4.63663e+07
204.073659648999,4.63668e+07
204.074777574799,4.63674e+07
204.075859500599,4.63679e+07
204.076950426399,4.63684e+07
204.077969352199,4.6369e+07
204.078952277999,4.63695e+07
204.079917203799,4.637e+07
204.080386129599,4.63706e+07
204.080999055399,4.63711e+07
204.083320906999,4.63716e+07
204.140044909216,4.63722e+07
204.141108835014,4.63727e+07
204.142489847024,4.63733e+07
204.143129772822,4.63738e+07
204.14417569862,4.63743e+07
204.144698624418,4.63749e+07
204.145645550216,4.63754e+07
204.146159476014,4.63759e+07
204.14781032761,4.63765e+07
204.148288253408,4.6377e+07
204.1510319566,4.63775e+07
204.151572882398,4.63781e+07
204.153223733994,4.63786e+07
204.154287659792,4.63792e+07
204.209074872632,4.63797e+07
204.21020179843,4.63802e+07
204.210761724228,4.63808e+07
204.212114736238,4.63808e+07
204.213656587834,4.63813e+07
204.21519843943,4.63818e+07
204.216334365228,4.63824e+07
204.217569216824,4.63829e+07
204.218056142622,4.63834e+07
204.21870506842,4.6384e+07
204.219669994218,4.63845e+07
204.221176845814,4.6385e+07
204.222276771612,4.63856e+07
204.22277269741,4.63861e+07
204.223782623208,4.63867e+07
204.29056900034,4.63872e+07
204.291064926138,4.63877e+07
204.291704851936,4.63883e+07
204.29427162933,4.63888e+07
204.294848555128,4.63893e+07
204.295876480926,4.63899e+07
204.296480406724,4.63904e+07
204.297517332522,4.63909e+07
204.29800425832,4.63915e+07
204.298969184118,4.6392e+07
204.300673109915,4.63926e+07
204.302648984652,4.63931e+07
204.304056739238,4.63936e+07
204.30554559083,4.63942e+07
204.361461881501,4.63947e+07
204.362110807297,4.63952e+07
204.363102733093,4.63958e+07
204.364211658889,4.63963e+07
204.365736510481,4.63968e+07
204.366918726035,4.63974e+07
204.368017147533,4.63979e+07
204.370274073329,4.63984e+07
204.370940999125,4.6399e+07
204.372330850717,4.63995e+07
204.374396628448,4.64001e+07
204.375478554244,4.64006e+07
204.37608248004,4.64011e+07
204.377065405836,4.64017e+07
204.431758606206,4.64022e+07
204.432254532,4.64027e+07
204.433689383588,4.64033e+07
204.434176309382,4.64038e+07
204.434812478636,4.64043e+07
204.436726256018,4.64049e+07
204.437763181812,4.64054e+07
204.439880962538,4.6406e+07
204.440971888332,4.64065e+07
204.442314125575,4.6407e+07
204.444316805953,4.64076e+07
204.44582375489,4.64081e+07
204.447960509474,4.64086e+07
204.450342998915,4.64092e+07
204.501679330912,4.64097e+07
204.502554268428,4.64102e+07
204.503761442048,4.64108e+07
204.505160293636,4.64113e+07
204.50627821943,4.64118e+07
204.506837145224,4.64124e+07
204.507414071018,4.64129e+07
204.509046922606,4.64135e+07
204.511209088987,4.6414e+07
204.512309014781,4.64145e+07
204.513789792508,4.64151e+07
204.514808718302,4.64156e+07
204.516927472886,4.64161e+07
204.519336962327,4.64167e+07
204.573056055618,4.64172e+07
204.574092981412,4.64177e+07
204.575093907206,4.64183e+07
204.576094833,4.64188e+07
204.576617758794,4.64194e+07
204.577753684588,4.64199e+07
204.578240610382,4.64204e+07
204.580145387764,4.6421e+07
204.582574239352,4.64215e+07
204.583241165146,4.6422e+07
204.58423309094,4.64226e+07
204.585279016734,4.64231e+07
204.586938868322,4.64236e+07
204.58860771991,4.64242e+07
204.652438855951,4.64247e+07
204.653376793465,4.64252e+07
204.653890719257,4.64258e+07
204.654855656771,4.64263e+07
204.656616351899,4.64269e+07
204.657112277691,4.64274e+07
204.657626203483,4.64279e+07
204.658681129275,4.64285e+07
204.659249055067,4.6429e+07
204.660137980859,4.64295e+07
204.828820666996,4.643e+07
204.829289592786,4.643e+07
204.830362518576,4.64306e+07
204.830975444366,4.64311e+07
204.831444370156,4.64317e+07
204.832897221736,4.64322e+07
204.833510147526,4.64327e+07
204.835007999106,4.64333e+07
204.835593924896,4.64338e+07
204.837118776476,4.64343e+07
204.838047702266,4.64349e+07
204.839156628056,4.64354e+07
204.840256553846,4.64359e+07
204.841392479636,4.64365e+07
204.842447405426,4.6437e+07
204.898319556194,4.64376e+07
204.900393333564,4.64381e+07
204.901493259354,4.64386e+07
204.902764185144,4.64392e+07
204.903296110934,4.64397e+07
204.904560888304,4.64402e+07
204.905543814094,4.64408e+07
204.906580739884,4.64413e+07
204.907653665674,4.64418e+07
204.908591591464,4.64424e+07
204.910134443044,4.64429e+07
204.911243368834,4.64434e+07
204.912217294624,4.6444e+07
204.912821220414,4.64445e+07
204.967412519602,4.64451e+07
204.969495296972,4.64456e+07
204.970541222762,4.64461e+07
204.97243865934,4.64467e+07
204.973500851712,4.64472e+07
204.974798777502,4.64477e+07
204.975997703292,4.64483e+07
204.977124629082,4.64488e+07
204.977755554872,4.64493e+07
204.978747480662,4.64499e+07
204.979342406452,4.64504e+07
204.980210332242,4.6451e+07
204.982520109612,4.64515e+07
204.984852126341,4.6452e+07
205.036343483009,4.64526e+07
205.038489260379,4.64531e+07
205.055905976373,4.64536e+07
205.057005902161,4.64542e+07
205.058069827949,4.64547e+07
205.060533753737,4.64552e+07
205.061588679525,4.64558e+07
205.062715605313,4.64563e+07
205.063671531101,4.64568e+07
205.064167456889,4.64574e+07
205.066296308465,4.64579e+07
205.067306234253,4.64585e+07
205.068361160041,4.6459e+07
205.068974085829,4.64595e+07
205.105587103171,4.64601e+07
205.107398605149,4.64606e+07
205.126209409773,4.64611e+07
205.129032116615,4.64617e+07
205.130078042403,4.64622e+07
205.130726968191,4.64627e+07
205.132233819767,4.64633e+07
205.133279745555,4.64638e+07
205.133838671343,4.64644e+07
205.136070522919,4.64649e+07
205.137080448707,4.64654e+07
205.138144374495,4.6466e+07
205.138730300283,4.64665e+07
205.140147151859,4.6467e+07
205.175266719754,4.64676e+07
205.176403111576,4.64681e+07
205.196402228445,4.64686e+07
205.198494841321,4.64692e+07
205.200004778831,4.64697e+07
205.200644704619,4.64702e+07
205.201149630407,4.64708e+07
205.202823634749,4.64713e+07
205.203932560537,4.64719e+07
205.205502412113,4.64724e+07
205.206548337901,4.64729e+07
205.208668189477,4.64735e+07
205.209200115265,4.6474e+07
205.210687869841,4.64745e+07
205.24437768316,4.64751e+07
205.245666608948,4.64756e+07
205.265621109607,4.64761e+07
205.270152593813,4.64767e+07
205.271180519601,4.64772e+07
205.272316445389,4.64778e+07
205.273416371177,4.64783e+07
205.274552296965,4.64788e+07
205.275039222753,4.64794e+07
205.275526148541,4.64799e+07
205.277249000117,4.64804e+07
205.278818851693,4.6481e+07
205.280867777481,4.64815e+07
205.281958703269,4.6482e+07
205.313577742071,4.64826e+07
205.314776667857,4.64831e+07
205.335183010521,4.64836e+07
205.339137557218,4.64842e+07
205.340228483006,4.64847e+07
205.341301408794,4.64853e+07
205.342383334582,4.64858e+07
205.344582206072,4.64863e+07
205.345763131858,4.64869e+07
205.346376057644,4.64874e+07
205.347846909216,4.64879e+07
205.348333835002,4.64885e+07
205.351244526808,4.6489e+07
205.35305737838,4.64895e+07
205.382715705475,4.64901e+07
205.383905631261,4.64906e+07
205.416786314865,4.64912e+07
205.419204033425,4.64917e+07
205.419699959211,4.64922e+07
205.420790884997,4.64928e+07
205.422108736569,4.64933e+07
205.423235662355,4.64938e+07
205.424209588141,4.64944e+07
205.424818513927,4.64949e+07
205.593501200059,4.64954e+07
205.594060125845,4.64954e+07
205.594547051631,4.6496e+07
205.595628977417,4.64965e+07
205.596187903203,4.6497e+07
205.597161828989,4.64976e+07
205.598417754775,4.64981e+07
205.598976680561,4.64986e+07
205.599544606347,4.64992e+07
205.600635532133,4.64997e+07
205.602034383705,4.65002e+07
205.603125309491,4.65008e+07
205.604063235277,4.65013e+07
205.605190161063,4.65018e+07
205.605722086849,4.65024e+07
205.663568015035,4.65029e+07
205.665163968072,4.65035e+07
205.668574569751,4.6504e+07
205.669611495537,4.65045e+07
205.670603421323,4.65051e+07
205.671604347109,4.65056e+07
205.672713272895,4.65061e+07
205.673272198681,4.65067e+07
205.675067050253,4.65072e+07
205.678098723128,4.65077e+07
205.681120135278,4.65083e+07
205.682562889852,4.65088e+07
205.683536815638,4.65094e+07
205.685543570212,4.65099e+07
205.732597978439,4.65104e+07
205.734765320252,4.6511e+07
205.737541533155,4.65115e+07
205.738623458941,4.6512e+07
205.739858384727,4.65126e+07
205.741021310513,4.65131e+07
205.742221162085,4.65136e+07
205.743303087871,4.65142e+07
205.744403013657,4.65147e+07
205.746984686532,4.65152e+07
205.750483001684,4.65158e+07
205.751448853256,4.65163e+07
205.753093779042,4.65169e+07
205.755159556753,4.65174e+07
205.801582941842,4.65179e+07
205.816505341929,4.65185e+07
205.817569267713,4.6519e+07
205.819004037041,4.65195e+07
205.819481962825,4.65201e+07
205.820058888609,4.65206e+07
205.821421657937,4.65211e+07
205.821917583721,4.65217e+07
205.824148204617,4.65222e+07
205.825221130401,4.65228e+07
205.827736908109,4.65233e+07
205.829153662681,4.65238e+07
205.829658588465,4.65244e+07
205.832698366173,4.65249e+07
205.870711905244,4.65254e+07
205.886157223091,4.6526e+07
205.886878148875,4.65265e+07
205.890001843987,4.6527e+07
205.892554562541,4.65276e+07
205.893600488325,4.65281e+07
205.895214257653,4.65286e+07
205.896676026981,4.65292e+07
205.897604952765,4.65297e+07
205.898641878549,4.65303e+07
205.899741804333,4.65308e+07
205.902176387693,4.65313e+07
205.904197165401,4.65319e+07
205.906587943109,4.65324e+07
205.939696868646,4.65329e+07
205.956860947797,4.65335e+07
205.957897885302,4.6534e+07
205.960583588438,4.65345e+07
205.962233357766,4.65351e+07
205.962747451727,4.65356e+07
205.9647872408,4.65362e+07
205.966915010128,4.65367e+07
205.967392935912,4.65372e+07
205.967897861696,4.65378e+07
205.96901578748,4.65383e+07
205.971589542377,4.65388e+07
205.975422148873,4.65394e+07
205.978677755369,4.65399e+07
206.008609832048,4.65404e+07
206.027921672503,4.6541e+07
206.029012441831,4.65415e+07
206.031995074448,4.6542e+07
206.034149843776,4.65426e+07
206.03472676956,4.65431e+07
206.035204695344,4.65437e+07
206.03820931624,4.65442e+07
206.038678242024,4.65447e+07
206.040050093592,4.65453e+07
206.041159019376,4.65458e+07
206.04215994516,4.65463e+07
206.045677135411,4.65469e+07
206.048104741907,4.65474e+07
206.07766679545,4.65479e+07
206.099007260498,4.65485e+07
206.101171029826,4.6549e+07
206.10220795561,4.65496e+07
206.104542724938,4.65501e+07
206.106590048581,4.65506e+07
206.107653974365,4.65512e+07
206.108672900149,4.65517e+07
206.109772825933,4.65522e+07
206.110367751717,4.65528e+07
206.111386677501,4.65533e+07
206.112396603285,4.65538e+07
206.114617098813,4.65544e+07
206.117174933695,4.65549e+07
206.146561758852,4.65554e+07
206.17667201972,4.6556e+07
206.179036476136,4.65565e+07
206.17966740192,4.65571e+07
206.182031202714,4.65576e+07
