X,frankfurt_urban_n_vehicles_multi_radio.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles_multi_radio.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
32.984845438827,1032,1024
32.986971340129,1032,1024
32.994440368377,1032,1024
33.021889769138,1032,1024
33.028695365648,1032,1024
33.034647622176,1032,1024
33.038606341478,1032,1024
33.03925306078,1032,1024
33.052033769138,1032,1024
33.058915481148,1032,1024
33.06435950856,1032,1024
33.080634108578,1032,1024
33.085866100935,1032,1024
33.100053369546,1032,1024
33.113680782404,1032,1024
33.11729498502,1032,1024
33.122753782404,1032,1024
33.154718780959,1032,1024
33.155464512383,1032,1024
33.181335561706,1032,1024
33.183933584498,1032,1024
33.204607795392,1032,1024
33.206843281888,1032,1024
33.21400653864,1032,1024
33.230719876238,1032,1024
33.235872132992,1032,1024
33.242319668169,1032,1024
33.243713411417,1032,1024
33.246422203346,1032,1024
33.253419540946,1032,1024
33.298868025134,1032,1024
33.300233071322,1032,1024
33.307694136409,1032,1024
33.308502891185,1032,1024
33.314672268101,1032,1024
33.327668202254,1032,1024
33.334408808101,1032,1024
33.342897870984,1032,1024
33.390836832573,1032,1024
33.397111136408,1032,1024
33.402456820779,1032,1024
33.408847894779,1032,1024
33.415337760549,1032,1024
33.439833475473,1032,1024
33.441227241949,1032,1024
33.490755914584,1032,1024
33.504484611801,1032,1024
33.509681946851,1032,1024
33.520181179935,1032,1024
33.53074506339,1032,1024
33.534654509835,1032,1024
33.545776159983,1032,1024
33.547043938333,1032,1024
33.550057716683,1032,1024
33.551988833451,1032,1024
33.556448736356,1032,1024
33.560174596295,1032,1024
33.582702236033,1032,1024
33.586119159983,1032,1024
33.630799171823,1032,1024
33.633344321316,1032,1024
33.633964111506,1032,1024
33.643721544175,1032,1024
33.64909213246,1032,1024
33.653016625445,1032,1024
33.680020224447,1032,1024
33.683980532557,1032,1024
33.688951734463,1032,1024
33.698098505482,1032,1024
33.702348858373,1032,1024
33.742937858372,1032,1024
33.752891660445,1032,1024
33.763383858373,1032,1024
33.767438826831,1032,1024
33.768832628903,1032,1024
33.773886159603,1032,1024
33.782637858373,1032,1024
33.797963183705,1032,1024
33.80170556674,1032,1024
33.814885870732,1032,1024
33.823558369946,1032,1024
33.833287277289,1032,1024
33.856209195699,1032,1024
33.858348386803,1032,1024
33.861513577907,1032,1024
33.90120351099,1032,1024
33.907372505608,1032,1024
33.971372597303,1032,1024
34.032407174987,1032,1024
34.050059621997,1032,1024
34.053682264081,1032,1024
34.057530343089,1032,1024
34.093753210127,1032,1024
34.095677450491,1032,1024
34.118613610369,1032,1024
34.123308875433,1032,1024
34.160289027995,1032,1024
34.163876144389,1032,1024
34.165268409453,1032,1024
34.171103939581,1032,1024
34.190257420801,1032,1024
34.194858950928,1032,1024
34.199443925886,1032,1024
34.204204938032,1032,1024
34.237660122313,1032,1024
34.241013857673,1032,1024
34.263930667463,1032,1024
34.271871919984,1032,1024
34.274348209591,1032,1024
34.275067073743,1032,1024
34.276926955351,1032,1024
34.282044156399,1032,1024
34.283382038007,1032,1024
34.284766902159,1032,1024
34.352614511649,1032,1024
34.374794814522,1032,1024
34.377856959483,1032,1024
34.388742238042,1032,1024
34.392579462582,1032,1024
34.396555228967,1032,1024
34.433152108913,1032,1024
34.496208096764,1032,1024
34.499799926192,1032,1024
34.505089411399,1032,1024
34.512866148729,1032,1024
34.513414052173,1032,1024
34.603999879358,1032,1024
34.608639352508,1032,1024
34.617166125456,1032,1024
34.618405122074,1032,1024
34.618962038918,1032,1024
34.624677885528,1032,1024
34.627991675399,1032,1024
34.708193983087,1032,1024
34.724427911106,1032,1024
34.75879907008,1032,1024
34.770155000437,1032,1024
34.834938102316,1032,1024
34.837064155884,1032,1024
34.89039586419,1032,1024
34.903611580062,1032,1024
34.905956168116,1032,1024
34.932769500992,1032,1024
34.944607086876,1032,1024
35.002241824185,1032,1024
35.04585039802,1032,1024
35.066984833552,1032,1024
35.071400288094,1032,1024
35.076351224233,1032,1024
35.076980195891,1032,1024
35.093593155166,1032,1024
35.133956333961,1032,1024
35.138323182052,1032,1024
35.139598320492,1032,1024
35.143740827029,1032,1024
35.16695049935,1032,1024
35.178461187689,1032,1024
35.199372196042,1032,1024
35.213294040227,1032,1024
35.459984329628,1032,1024
35.510738252428,1032,1024
35.51288007537,1032,1024
35.56344885281,1032,1024
35.564230896036,1032,1024
35.59414907537,1032,1024
35.596082252431,1032,1024
35.601361346251,1032,1024
35.607861629695,1032,1024
35.612509652681,1032,1024
35.615973710643,1032,1024
35.640481324326,1032,1024
35.670118464889,1032,1024
35.676959266364,1032,1024
35.769741737549,1032,1024
35.777861854241,1032,1024
35.86077769015,1032,1024
35.876870602355,1032,1024
35.939059419464,1032,1024
35.960020493771,1032,1024
35.970400556834,1032,1024
35.986001307922,1032,1024
36.048397919341,1032,1024
36.127135335456,1032,1024
36.175974335456,1032,1024
36.209935793181,1032,1024
36.272830155761,1032,1024
36.280285349159,1032,1024
36.40098025497,1032,1024
36.474667122908,1032,1024
36.478758939908,1032,1024
36.623908200959,1032,1024
