X,frankfurt_urban.MA[0].tcp/rcvd seq
31.553066704216,7.62092e+06
31.554702749786,7.62145e+06
31.555388795356,7.62199e+06
31.556888886496,7.62252e+06
31.557511932066,7.62306e+06
31.558495977636,7.6236e+06
31.559020023206,7.62413e+06
31.563643251056,7.62467e+06
31.634416418294,7.6252e+06
31.636274555004,7.62574e+06
31.637303600574,7.62628e+06
31.638638674272,7.62681e+06
31.63972174797,7.62735e+06
31.642272782854,7.62788e+06
31.644549873994,7.62842e+06
31.64633802139,7.62896e+06
31.648200095088,7.62949e+06
31.649229168786,7.63003e+06
31.650303242484,7.63056e+06
31.65355738988,7.6311e+06
31.655722537276,7.63164e+06
31.656850610974,7.63217e+06
31.723595524711,7.63271e+06
31.725480661421,7.63324e+06
31.726760978875,7.63378e+06
31.729215854387,7.63432e+06
31.729811955515,7.63485e+06
31.732149889271,7.63539e+06
31.734542054109,7.63592e+06
31.737681127807,7.63646e+06
31.738295228935,7.637e+06
31.740317431191,7.63753e+06
31.741039532319,7.63807e+06
31.743039734575,7.6386e+06
31.747919936831,7.63914e+06
31.748985037959,7.63968e+06
31.812891658456,7.64021e+06
31.816789956289,7.64075e+06
31.817846084643,7.64128e+06
31.819051290188,7.64182e+06
31.820748546896,7.64236e+06
31.821760023016,7.64289e+06
31.824188187854,7.64343e+06
31.82746536268,7.64396e+06
31.830303279732,7.6445e+06
31.831521408086,7.64504e+06
31.83260486832,7.64557e+06
31.833306969448,7.64611e+06
31.838434171704,7.64664e+06
31.839549272832,7.64718e+06
31.902025819307,7.64772e+06
31.907205245494,7.64825e+06
31.911632183867,7.64879e+06
31.913340348705,7.64932e+06
31.914812659385,7.64986e+06
31.915291814725,7.6504e+06
31.915887970065,7.65093e+06
31.917744280745,7.65147e+06
31.919680440583,7.652e+06
31.923700130299,7.65254e+06
31.924702285639,7.65308e+06
31.925361440979,7.65361e+06
31.929164906999,7.65415e+06
31.929662062339,7.65468e+06
31.992915016888,7.65522e+06
31.996393419838,7.65576e+06
32.004250800426,7.65629e+06
32.004828982508,7.65683e+06
32.007274346672,7.65736e+06
32.008351528754,7.6579e+06
32.009362710836,7.65844e+06
32.010499892918,7.65897e+06
32.011132075,7.65951e+06
32.012924318014,7.66004e+06
32.014845628694,7.66058e+06
32.016527810776,7.66112e+06
32.019422250054,7.66165e+06
32.021414405394,7.66219e+06
32.083551204603,7.66272e+06
32.085754406894,7.66326e+06
32.094098183594,7.6638e+06
32.095298365676,7.66433e+06
32.112418743089,7.66487e+06
32.113429951669,7.6654e+06
32.118042368829,7.66594e+06
32.118656577409,7.66648e+06
32.120723994569,7.66701e+06
32.121816203149,7.66755e+06
32.125897828889,7.66808e+06
32.126431037469,7.66862e+06
32.127984454629,7.66916e+06
32.128697663209,7.66969e+06
32.172847418938,7.67023e+06
32.174879621229,7.67076e+06
32.183502397929,7.6713e+06
32.184540606509,7.67184e+06
32.203846983798,7.67237e+06
32.204389218628,7.67291e+06
32.207871818118,7.67344e+06
32.209942995686,7.67398e+06
32.211318443858,7.67452e+06
32.220058383178,7.67505e+06
32.220546618008,7.67559e+06
32.224127087668,7.67612e+06
32.224687322498,7.67666e+06
32.229936496648,7.6772e+06
32.262732659647,7.67773e+06
32.264756861938,7.67827e+06
32.273312827528,7.6788e+06
32.273882062358,7.67934e+06
32.293550472462,7.67988e+06
32.295741707292,7.68041e+06
32.297047043324,7.68095e+06
32.302036710692,7.68148e+06
32.303943415182,7.68202e+06
32.309820040039,7.68256e+06
32.499313671771,7.68307e+06
32.5024959711,7.68307e+06
32.503146283178,7.6836e+06
32.506252907334,7.68414e+06
32.506876219412,7.68468e+06
32.50825253149,7.68521e+06
32.508758843568,7.68575e+06
32.510537467724,7.68628e+06
32.511647779802,7.68682e+06
32.51215409188,7.68736e+06
32.515259340192,7.68789e+06
32.51572965227,7.68843e+06
32.516442964348,7.68896e+06
32.516967276426,7.6895e+06
32.517969588504,7.69004e+06
32.594429926338,7.69057e+06
32.599757486728,7.69111e+06
32.600308811428,7.69164e+06
32.604873823394,7.69218e+06
32.606870498038,7.69272e+06
32.60752083536,7.69325e+06
32.612437184648,7.69379e+06
32.61313252197,7.69432e+06
32.613937859292,7.69486e+06
32.614471196614,7.6954e+06
32.616043871258,7.69593e+06
32.61794420858,7.69647e+06
32.620539557868,7.697e+06
32.626077569834,7.69754e+06
32.683591270042,7.69808e+06
32.693375505076,7.69861e+06
32.69695417972,7.69915e+06
32.697505517042,7.69968e+06
32.698579854364,7.70022e+06
32.700892216144,7.70076e+06
32.708597071128,7.70129e+06
32.709247433434,7.70183e+06
32.715220938652,7.70236e+06
32.715817300958,7.7029e+06
32.718127825478,7.70344e+06
32.719229187784,7.70397e+06
32.72028855009,7.70451e+06
32.722193912396,7.70504e+06
32.77336063886,7.70558e+06
