X,frankfurt_urban_n_vehicles.MA[1].udpApp[0]/endToEndDelay:vector
38.616849981599,0.0753136
38.618281041627,0.0667446
38.618987101655,0.0574507
38.623817161683,0.0522807
38.631703221711,0.0501668
38.632481281739,0.0409449
38.637225555042,0.0356891
38.646113555042,0.0345771
38.656937555042,0.0354011
38.673702555042,0.0421661
38.702005553949,0.0504691
38.703414611791,0.0418782
38.706113553949,0.0345771
38.717671553949,0.0361351
38.728121553949,0.0365851
38.740061553949,0.0385251
38.756113553949,0.0345771
38.766113553949,0.0345771
38.780120553949,0.0385841
38.791038553949,0.0395021
38.798495553949,0.0369591
38.806113552947,0.0345771
38.816113552947,0.0345771
38.827153552947,0.0356171
38.836113552947,0.0345771
38.847833552947,0.0362971
38.856113552947,0.0345771
38.915276551987,0.0637401
38.915829605905,0.0542932
38.918440659823,0.0469042
38.921429713741,0.0398933
38.940661713741,0.0491253
38.945302767659,0.0437663
38.973881680166,0.0523453
38.986385734084,0.0548493
38.993510788002,0.0519744
38.99529284192,0.0437564
39.012212551083,0.0506761
39.019179551083,0.0476431
39.040554603193,0.0490182
39.041179655303,0.0396432
39.049764551083,0.0382281
39.058364551083,0.0368281
39.066847551083,0.0353111
39.094748551083,0.0432121
39.142410550231,0.0608741
39.142990600637,0.0514542
39.143624651043,0.0420882
39.154143550231,0.0426071
39.157781997952,0.0362456
39.184429297293,0.0528929
39.185063347699,0.0435269
39.202488549424,0.0409521
39.206113549424,0.0345771
39.216780730274,0.0352443
39.226427549424,0.0348911
39.236991549424,0.0354551
39.246113549424,0.0345771
39.258121549424,0.0365851
39.266113549424,0.0345771
39.277644549424,0.0361081
39.286919549424,0.0353831
39.311817548676,0.0402811
39.316775548676,0.0352391
39.327538970634,0.0360025
39.338634548676,0.0370981
39.353135548676,0.0415991
39.359544548676,0.0380081
39.390789734174,0.0492533
39.427746733464,0.0662103
39.43279677934,0.0612604
39.469402825216,0.0678664
39.471031871092,0.0594954
39.474195916968,0.0526595
39.476855962844,0.0453195
39.48138900872,0.0398526
39.503900547308,0.0523641
39.526670591868,0.0551342
39.527250636428,0.0457142
39.528879680988,0.0373433
39.554553547308,0.0430171
39.578820547308,0.0472841
39.590000591868,0.0484642
39.593880636428,0.0423442
39.597207547308,0.0356711
39.606748758443,0.0352123
39.617707546693,0.0361711
39.626113546693,0.0345771
39.636919546693,0.0353831
39.680267689175,0.0487313
39.681000732505,0.0394643
39.687968546693,0.0364321
39.697779546693,0.0362431
39.707404319167,0.0358679
39.719883075754,0.0383467
39.726113546144,0.0345771
39.736113546144,0.0345771
39.764049546144,0.0425131
39.78595820558,0.0544218
39.790514247812,0.0489778
39.791972290044,0.0404359
39.796838546144,0.0353021
