X,frankfurt_urban_n_vehicles.MA[2].idLayer/sequenceUpdateDa:vector
322.782636517785,415
322.782636517785,416
322.782636517785,417
322.782636517785,418
322.782636517785,419
322.782636517785,420
322.782636517785,421
322.782636517785,422
322.782636517785,423
322.782636517785,424
322.782636517785,425
322.782636517785,426
322.782636517785,427
322.782636517785,428
322.851390216163,429
322.853143283425,430
322.927079462618,431
322.937079462618,432
322.937079462618,433
322.937079462618,434
322.937079462618,435
322.937079462618,436
322.937079462618,437
322.937079462618,438
322.937079462618,439
322.937079462618,440
322.937079462618,441
322.937079462618,442
322.937079462618,443
322.937079462618,444
322.937079462618,445
323.006443500596,446
323.006986366666,447
323.048318385968,448
323.119538842538,449
323.129538842538,450
323.129538842538,451
323.129538842538,452
323.129538842538,453
323.129538842538,454
323.129538842538,455
323.129538842538,456
323.198292588674,457
323.199866929789,458
323.204655037776,459
323.208859941682,460
323.210434501814,461
323.212868083702,462
323.21386497714,463
323.271066388442,464
323.271066388442,465
323.342662242444,466
323.352662242444,467
323.352662242444,468
323.352662242444,469
323.352662242444,470
323.352662242444,471
323.352662242444,472
323.352662242444,473
323.352662242444,474
323.352662242444,475
323.425908214205,476
323.427031135095,477
323.427556055985,478
323.430010591529,479
323.431639512419,480
323.433224127073,481
323.433224127073,482
323.512018719471,483
323.522018719471,484
323.522018719471,485
323.522018719471,486
323.522018719471,487
323.522018719471,488
323.522018719471,489
323.522018719471,490
323.522018719471,491
323.522018719471,492
323.522018719471,493
323.594440680537,494
323.594911615151,495
323.602721452735,496
323.603201401143,497
323.604261349551,498
323.604261349551,499
323.683380404239,500
323.693380404239,501
323.693380404239,502
323.693380404239,503
323.693380404239,504
323.693380404239,505
323.693380404239,506
323.693380404239,507
323.693380404239,508
323.693380404239,509
323.693380404239,510
323.693380404239,511
323.693380404239,512
323.762134225922,513
323.763212188076,514
323.76363815023,515
323.76363815023,516
323.835111358841,517
323.845111358841,518
323.845111358841,519
323.845111358841,520
323.845111358841,521
323.845111358841,522
323.845111358841,523
323.845111358841,524
323.845111358841,525
323.845111358841,526
323.845111358841,527
323.845111358841,528
323.845111358841,529
323.845111358841,530
323.92705428858,531
323.927453278344,532
323.927453278344,533
324.003565408701,534
324.013565408701,535
324.013565408701,536
324.013565408701,537
324.013565408701,538
324.013565408701,539
324.013565408701,540
324.013565408701,541
324.013565408701,542
324.013565408701,543
324.013565408701,544
324.013565408701,545
324.013565408701,546
324.013565408701,547
324.013565408701,548
324.082319278675,549
324.085799128271,550
324.155367495503,551
324.165367495503,552
324.165367495503,553
324.165367495503,554
324.165367495503,555
324.165367495503,556
324.165367495503,557
324.165367495503,558
324.165367495503,559
324.165367495503,560
324.165367495503,561
324.165367495503,562
324.165367495503,563
324.165367495503,564
324.165367495503,565
324.234121386239,566
324.235370417503,567
324.313882568571,568
324.323882568571,569
324.323882568571,570
324.323882568571,571
324.323882568571,572
324.323882568571,573
324.323882568571,574
324.323882568571,575
324.323882568571,576
324.323882568571,577
324.323882568571,578
324.323882568571,579
324.323882568571,580
324.323882568571,581
324.323882568571,582
324.392636480125,583
324.393876525277,584
324.469832081219,585
324.479832081219,586
324.479832081219,587
324.479832081219,588
324.479832081219,589
324.479832081219,590
324.479832081219,591
324.479832081219,592
324.479832081219,593
324.479832081219,594
324.479832081219,595
324.479832081219,596
324.479832081219,597
324.479832081219,598
324.479832081219,599
324.549951093155,600
324.552204745811,601
324.626580616465,602
324.636580616465,603
324.636580616465,604
324.636580616465,605
324.636580616465,606
324.636580616465,607
324.636580616465,608
324.636580616465,609
324.636580616465,610
324.636580616465,611
324.636580616465,612
324.636580616465,613
324.636580616465,614
324.636580616465,615
324.636580616465,616
324.710253576645,617
324.712459677459,618
324.785235644701,619
324.795235644701,620
324.795235644701,621
324.795235644701,622
324.795235644701,623
324.795235644701,624
324.795235644701,625
324.795235644701,626
324.795235644701,627
324.795235644701,628
324.795235644701,629
324.795235644701,630
324.795235644701,631
324.795235644701,632
324.795235644701,633
324.864303618822,634
324.865372733518,635
324.948333012562,636
324.958333012562,637
324.958333012562,638
324.958333012562,639
324.958333012562,640
324.958333012562,641
324.958333012562,642
324.958333012562,643
324.958333012562,644
324.958333012562,645
324.958333012562,646
324.958333012562,647
324.958333012562,648
324.958333012562,649
324.958333012562,650
325.028365302517,651
325.029497445057,652
325.111630480378,653
325.121630480378,654
325.121630480378,655
325.121630480378,656
325.121630480378,657
325.121630480378,658
325.121630480378,659
325.121630480378,660
325.121630480378,661
325.121630480378,662
325.121630480378,663
325.121630480378,664
325.121630480378,665
325.121630480378,666
325.121630480378,667
325.19366364294,668
325.194071799422,669
325.285909517364,670
325.295909517364,671
325.295909517364,672
325.295909517364,673
325.295909517364,674
325.295909517364,675
325.295909517364,676
325.295909517364,677
325.295909517364,678
325.295909517364,679
325.295909517364,680
325.295909517364,681
325.295909517364,682
325.295909517364,683
325.295909517364,684
325.365049193066,685
325.366172377528,686
325.436478291224,687
325.446478291224,688
325.446478291224,689
325.446478291224,690
325.446478291224,691
325.446478291224,692
325.446478291224,693
325.446478291224,694
325.446478291224,695
325.446478291224,696
325.446478291224,697
325.446478291224,698
325.446478291224,699
325.446478291224,700
325.446478291224,701
325.516372346005,702
325.519470558499,703
325.589466773473,704
325.599466773473,705
325.599466773473,706
325.599466773473,707
325.599466773473,708
325.599466773473,709
325.599466773473,710
325.599466773473,711
325.599466773473,712
325.599466773473,713
325.599466773473,714
325.599466773473,715
325.599466773473,716
325.599466773473,717
325.599466773473,718
325.671407074625,719
325.671950301175,720
325.775901171277,721
325.785901171277,722
325.785901171277,723
325.785901171277,724
325.785901171277,725
325.785901171277,726
325.785901171277,727
325.785901171277,728
325.785901171277,729
325.785901171277,730
325.785901171277,731
325.785901171277,732
325.785901171277,733
325.785901171277,734
325.785901171277,735
325.863375166779,736
325.864894448431,737
325.945631625621,738
325.955631625621,739
325.955631625621,740
325.955631625621,741
325.955631625621,742
325.955631625621,743
325.955631625621,744
325.955631625621,745
325.955631625621,746
325.955631625621,747
325.955631625621,748
325.955631625621,749
325.955631625621,750
325.955631625621,751
325.955631625621,752
326.024677047659,753
326.027188106751,754
326.105606208577,755
326.115606208577,756
326.115606208577,757
326.115606208577,758
326.115606208577,759
326.115606208577,760
326.115606208577,761
326.115606208577,762
326.115606208577,763
326.115606208577,764
326.115606208577,765
326.115606208577,766
326.115606208577,767
326.115606208577,768
326.115606208577,769
326.197513642378,770
326.198556939148,771
326.270198950818,772
326.280198950818,773
326.280198950818,774
326.280198950818,775
326.280198950818,776
326.280198950818,777
326.280198950818,778
326.280198950818,779
326.280198950818,780
326.280198950818,781
326.280198950818,782
326.280198950818,783
326.280198950818,784
326.280198950818,785
326.280198950818,786
326.363066291986,787
326.376879220182,788
326.447689988146,789
326.457689988146,790
326.457689988146,791
326.457689988146,792
326.457689988146,793
326.457689988146,794
326.457689988146,795
326.457689988146,796
326.457689988146,797
326.457689988146,798
326.457689988146,799
326.457689988146,800
326.457689988146,801
326.457689988146,802
326.457689988146,803
326.554279649199,804
326.557433375831,805
326.628516930194,806
326.638516930194,807
326.638516930194,808
326.638516930194,809
326.638516930194,810
326.638516930194,811
326.638516930194,812
326.638516930194,813
326.638516930194,814
326.638516930194,815
326.638516930194,816
326.638516930194,817
326.638516930194,818
326.638516930194,819
326.638516930194,820
326.710272132117,821
326.710833513591,822
326.785463131801,823
326.795463131801,824
326.795463131801,825
326.795463131801,826
326.795463131801,827
326.795463131801,828
326.795463131801,829
326.795463131801,830
326.795463131801,831
326.795463131801,832
326.795463131801,833
326.795463131801,834
326.795463131801,835
326.795463131801,836
326.795463131801,837
326.865197557662,838
326.866697953266,839
