X,frankfurt_urban_multi_radio.MA[0].tcp/rcvd seq
37.524650137605,7.87385e+06
37.529892530835,7.87438e+06
37.547931324812,7.87492e+06
37.549927665986,7.87545e+06
37.560435008984,7.87599e+06
37.563942959084,7.87653e+06
37.564481300258,7.87706e+06
37.735981531374,7.87709e+06
37.736487846574,7.87709e+06
37.737039161774,7.87763e+06
37.738619792174,7.87816e+06
37.740642422574,7.8787e+06
37.742421052974,7.87924e+06
37.743693368174,7.87977e+06
37.744253683374,7.88031e+06
37.745744313774,7.88084e+06
37.748418259374,7.88138e+06
37.752728520174,7.88192e+06
37.768859150574,7.88299e+06
37.808770528659,7.88352e+06
37.810068843859,7.88406e+06
37.814639052859,7.8846e+06
37.815776355109,7.88513e+06
37.817847959609,7.88567e+06
37.818985261859,7.8862e+06
37.820278311059,7.88674e+06
37.823646915559,7.88728e+06
37.824658217809,7.88781e+06
37.825263520059,7.88835e+06
37.826710124559,7.88888e+06
37.885792098069,7.88245e+06
37.893678574519,7.88942e+06
37.894812712811,7.8897e+06
37.958627136817,7.88996e+06
37.959746426143,7.89049e+06
37.960874715469,7.89103e+06
37.961994004795,7.89156e+06
37.962509294121,7.8921e+06
37.966435613267,7.89264e+06
37.967114902593,7.89317e+06
38.032654162647,7.89362e+06
38.034886715475,7.89415e+06
38.040218990523,7.89469e+06
38.041738266937,7.89522e+06
38.050330543351,7.89576e+06
38.052974819765,7.8963e+06
38.053571096179,7.89683e+06
38.104430452007,7.89737e+06
38.109073631093,7.8979e+06
38.110210894651,7.89844e+06
38.111354003469,7.89898e+06
38.113411540013,7.89951e+06
38.121630185583,7.90005e+06
38.125331109125,7.90058e+06
38.127493372683,7.90112e+06
38.178102458525,7.90166e+06
38.181281985641,7.90219e+06
38.182770249199,7.90273e+06
38.183474512757,7.90326e+06
38.184115776315,7.9038e+06
38.189819830547,7.90434e+06
38.192765192101,7.90487e+06
38.199709115643,7.90541e+06
38.200909372776,7.90594e+06
38.254269985734,7.90648e+06
38.263075303524,7.90702e+06
38.264026554232,7.90755e+06
38.26496580494,7.90809e+06
38.266475306356,7.90862e+06
38.268417557064,7.90916e+06
38.269094807772,7.9097e+06
38.270577309188,7.91023e+06
38.275326810604,7.91077e+06
38.275806061312,7.9113e+06
38.326646972982,7.91184e+06
38.33514354148,7.91238e+06
38.336442779348,7.91291e+06
38.337084017216,7.91345e+06
38.338711255084,7.91398e+06
38.340924492952,7.91452e+06
38.34212473082,7.91506e+06
38.345040444424,7.91559e+06
38.345573682292,7.91613e+06
38.350800871632,7.91666e+06
38.3517851095,7.9172e+06
38.39778195381,7.91774e+06
38.406422515898,7.91827e+06
38.410894991634,7.91881e+06
38.41334344173,7.91934e+06
38.416104180974,7.91988e+06
38.41930163107,7.92042e+06
38.422091856118,7.92095e+06
38.423888306214,7.92149e+06
38.424583531262,7.92202e+06
38.42591275631,7.92256e+06
38.427256981358,7.9231e+06
38.427862206406,7.92363e+06
38.469051928228,7.92417e+06
38.477494483906,7.9247e+06
38.482101959642,7.92524e+06
38.484649409738,7.92578e+06
38.49386236837,7.92631e+06
38.497701818466,7.92685e+06
