X,frankfurt_urban.MA[0].tcpApp[0]/endToEndDelay:vector
389.139126236332,0.140903
389.288749147896,0.139623
389.438471613202,0.139722
389.589103161589,0.140632
389.738897712339,0.139795
389.888611532692,0.139714
390.041818245774,0.143207
390.196673982027,0.144856
390.346495709008,0.139822
390.496245479443,0.13975
390.648939538319,0.142694
390.79887738972,0.139938
390.949769291655,0.140892
391.100976551639,0.141207
391.253035793157,0.142059
391.409783681411,0.146748
391.561763056387,0.141979
391.712510390991,0.140747
391.862811559553,0.140301
392.016117784162,0.143306
392.16750140688,0.141384
392.319957714151,0.142456
392.47539350792,0.145436
392.626918905391,0.141525
392.78136599951,0.144447
392.939281000919,0.147915
393.092840806462,0.14356
393.245420948244,0.14258
393.404069177768,0.148648
393.555822737575,0.141754
393.711505097199,0.145682
393.865597772852,0.144093
394.01882094184,0.143223
394.171146509286,0.142326
394.322680993661,0.141534
394.472823968607,0.140143
394.62477197842,0.141948
394.782553038695,0.147781
394.942326979458,0.149774
395.09637480618,0.144048
395.255475024487,0.1491
395.410440730102,0.144966
395.56164503352,0.141204
395.718249093895,0.146604
395.872569500323,0.14432
396.02487245169,0.142303
396.182792226894,0.14792
396.340228843272,0.147437
396.49443197365,0.144203
396.648792167824,0.14436
396.801434430148,0.142642
396.997401826107,0.185967
397.232704032936,0.225302
397.40120058893,0.158497
397.578889279316,0.167689
397.746367251159,0.157478
398.994222997386,1.23786
399.320201397413,0.315978
399.576648324042,0.246447
399.820944797406,0.234296
400.05188664604,0.220942
400.238815816722,0.176929
400.470554400356,0.221739
403.857353337795,3.3768
