X,frankfurt_urban_mipv6.MA[0].tcp/rcvd seq
31.784979234562,7.6275e+06
31.787368365642,7.62804e+06
31.790052573584,7.62857e+06
31.791360731536,7.62911e+06
31.79331804744,7.62964e+06
31.795716170306,7.63018e+06
31.797953274277,7.63072e+06
31.801801495549,7.63125e+06
31.80942959952,7.63179e+06
31.813205042516,7.63232e+06
31.81530435842,7.63286e+06
31.868055812693,7.6334e+06
31.870057997302,7.63393e+06
31.873215551132,7.63447e+06
31.873726735742,7.635e+06
31.874648920352,7.63554e+06
31.875133104962,7.63608e+06
31.877778474182,7.63661e+06
31.879958028012,7.63715e+06
31.880604212622,7.63768e+06
31.882655581842,7.63822e+06
31.884779087009,7.63876e+06
31.893451190979,7.63929e+06
31.902230647179,7.63983e+06
31.903242858203,7.64036e+06
31.952905417358,7.6409e+06
31.954882813777,7.64144e+06
