X,frankfurt_urban_n_vehicles.MA[2].tcpApp[0]/endToEndDelay:vector
208.624244230562,0.139215
208.774420925452,0.140177
208.924249950668,0.139829
209.073978975884,0.139729
209.222924121974,0.138945
209.37246514719,0.139541
209.52147329328,0.139008
209.670978318496,0.139505
209.820076464586,0.139098
209.970338368928,0.140262
210.120873152396,0.140535
210.271118056684,0.140245
210.420540202489,0.139422
210.57027922664,0.139739
210.719557370667,0.139278
210.868745513457,0.139188
211.018648408619,0.139903
211.168061546056,0.139413
211.317645461871,0.139584
211.467195465963,0.13955
211.616602589022,0.139407
211.766152578975,0.13955
211.915490413344,0.139338
212.067138992771,0.141649
212.2171678179,0.140029
212.366337903378,0.13917
212.515579975746,0.139242
212.664922898987,0.139343
212.814421349856,0.139498
212.964123242279,0.139702
213.113622825947,0.1395
213.262950516196,0.139328
213.412228508846,0.139278
213.561811948403,0.139583
213.711089910579,0.139278
213.860621692338,0.139532
214.010134451496,0.139513
214.159477361889,0.139343
214.309258629975,0.139781
214.458536511078,0.139278
214.608274994473,0.139738
214.759174062693,0.140899
214.90901528788,0.139841
215.058663610556,0.139648
215.207806374282,0.139143
215.357209596839,0.139403
215.506640311668,0.139431
215.656933552152,0.140293
215.80653184832,0.139598
215.955908492637,0.139377
216.106352343331,0.140444
216.255539934401,0.139188
216.406850911253,0.141311
216.556499176763,0.139648
216.705985398691,0.139486
216.855046879944,0.139061
217.004216324814,0.139169
217.1556843922,0.141468
217.305456819349,0.139772
217.455095179061,0.139638
217.604093504278,0.138998
217.753182053461,0.139089
217.902525528774,0.139343
218.052667023072,0.140141
218.201944236143,0.139277
218.351559102769,0.139615
218.501829860454,0.140271
218.651378633267,0.139549
218.800592748589,0.139214
218.949626844812,0.139034
219.098921921119,0.139295
219.24835613459,0.139434
219.397876782857,0.139521
219.546979076993,0.139102
219.696626685746,0.139648
219.845777690974,0.139151
219.995515283392,0.139738
220.145261871059,0.139747
220.294591440572,0.13933
220.443785060132,0.139194
220.593683695913,0.139899
220.743014627758,0.139331
220.893302704423,0.140288
221.043819811651,0.140517
221.192952847342,0.139133
221.342085885599,0.139133
221.491712958613,0.139627
221.642226898492,0.140514
221.792208554443,0.139982
221.941335517219,0.139127
222.090585684474,0.13925
222.240809289166,0.140224
222.391026538906,0.140217
222.540357798337,0.139331
222.690743612192,0.140386
222.839984937482,0.139241
222.989217297471,0.139232
223.13874837947,0.139531
223.28803436817,0.139286
223.437149833995,0.139115
223.586725055037,0.139575
223.73652372159,0.139799
223.88562131172,0.139098
224.035477735681,0.139856
224.187521459406,0.142044
224.336583173806,0.139062
224.485959935253,0.139377
224.637028613737,0.141069
224.787413621067,0.140385
224.936736516591,0.139323
225.086285285778,0.139549
225.235527277086,0.139242
225.385946638345,0.140419
225.535921452673,0.139975
225.685383015207,0.139462
225.834427203515,0.139044
225.984013350127,0.139586
226.134078464158,0.140065
226.283337356512,0.139259
226.433202684698,0.139865
226.583516797036,0.140314
226.733613290372,0.140096
226.88302236976,0.139409
227.033030150065,0.140008
227.182164803463,0.139135
227.331535520515,0.139371
227.481059312031,0.139524
