X,frankfurt_urban_n_vehicles.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
33.360275440274,1008,1000
33.367696440274,1008,1000
33.384078440274,1008,1000
33.393020790294,1008,1000
33.396381440274,1008,1000
33.407367445883,1008,1000
33.417106445883,1008,1000
33.427340445883,1008,1000
33.437678445883,1008,1000
33.450095445883,1008,1000
33.457070445883,1008,1000
33.467079445883,1008,1000
33.494645445883,1008,1000
33.506758174915,1008,1000
33.507328909405,1008,1000
33.508678643895,1008,1000
33.518074451341,1008,1000
33.528758451341,1008,1000
33.537079451341,1008,1000
33.547633451341,1008,1000
33.556381451341,1008,1000
33.566381451341,1008,1000
33.596940451341,1008,1000
33.600533191141,1008,1000
33.605803936251,1008,1000
33.617356936251,1008,1000
33.618107681361,1008,1000
33.628668456651,1008,1000
33.636381456651,1008,1000
33.662998456651,1008,1000
33.663623201761,1008,1000
33.666381456651,1008,1000
33.677484456651,1008,1000
33.686381456651,1008,1000
33.711324462046,1008,1000
33.713016217946,1008,1000
33.716980462046,1008,1000
33.727457462046,1008,1000
33.737313462046,1008,1000
33.746381462046,1008,1000
33.758443462046,1008,1000
33.767412462046,1008,1000
33.777133462046,1008,1000
33.786926462046,1008,1000
33.806333467529,1008,1000
33.815929234395,1008,1000
33.816680001261,1008,1000
33.851721467529,1008,1000
33.852382234395,1008,1000
33.861324467529,1008,1000
33.877952234395,1008,1000
33.884047001261,1008,1000
33.904596773561,1008,1000
33.910497551295,1008,1000
33.911991329029,1008,1000
33.918556472963,1008,1000
33.930590472963,1008,1000
33.936432356986,1008,1000
33.946381472963,1008,1000
33.956381472963,1008,1000
33.968086668187,1008,1000
33.978974472963,1008,1000
33.988011472963,1008,1000
33.997196472963,1008,1000
34.008248654904,1008,1000
34.01840747842,1008,1000
34.02638147842,1008,1000
34.03828147842,1008,1000
34.05235047842,1008,1000
34.05638147842,1008,1000
34.06638147842,1008,1000
34.07638147842,1008,1000
34.08638147842,1008,1000
34.09638147842,1008,1000
34.106381483944,1008,1000
34.116381483944,1008,1000
34.141584810727,1008,1000
34.142988610423,1008,1000
34.147520410119,1008,1000
34.159429483944,1008,1000
34.168110483944,1008,1000
34.196981483944,1008,1000
34.202292289211,1008,1000
34.240490289211,1008,1000
34.267279100049,1008,1000
34.268687910887,1008,1000
34.269447721725,1008,1000
34.272053532563,1008,1000
34.277088489515,1008,1000
34.287061489515,1008,1000
34.313502495193,1008,1000
34.314974317387,1008,1000
34.317832139581,1008,1000
34.347480495193,1008,1000
34.348938317387,1008,1000
34.350549139581,1008,1000
34.358569495193,1008,1000
34.407876588789,1008,1000
34.413942474459,1008,1000
34.418293360129,1008,1000
34.436280297587,1008,1000
34.443102183257,1008,1000
34.450947068927,1008,1000
34.456381501037,1008,1000
34.467097501037,1008,1000
34.476381501037,1008,1000
34.502827506945,1008,1000
34.506616420047,1008,1000
34.509301333149,1008,1000
34.517151506945,1008,1000
34.526381506945,1008,1000
34.540824506945,1008,1000
34.550392506945,1008,1000
34.557304506945,1008,1000
34.567106506945,1008,1000
34.584299506945,1008,1000
34.586381506945,1008,1000
34.596381506945,1008,1000
34.606381512927,1008,1000
34.618767512927,1008,1000
34.626381512927,1008,1000
34.659981427579,1008,1000
34.666718368069,1008,1000
34.668737308559,1008,1000
34.680460512927,1008,1000
34.686381512927,1008,1000
34.697178512927,1008,1000
34.706381518954,1008,1000
34.729726518954,1008,1000
34.733843486606,1008,1000
34.736381518954,1008,1000
34.76236461689,1008,1000
34.770919518954,1008,1000
34.776381518954,1008,1000
34.788353518954,1008,1000
34.800059518954,1008,1000
34.807367525038,1008,1000
34.816381525038,1008,1000
34.858922637838,1008,1000
34.862485632522,1008,1000
34.890351740006,1008,1000
34.89428373469,1008,1000
34.899372729374,1008,1000
34.930060865029,1008,1000
34.935613886715,1008,1000
34.937884908401,1008,1000
34.939205930087,1008,1000
34.959353531204,1008,1000
34.97544155289,1008,1000
34.979122574576,1008,1000
35.007037744498,1008,1000
35.009164793186,1008,1000
35.012795841874,1008,1000
35.01731353744,1008,1000
35.02884853744,1008,1000
35.03638153744,1008,1000
35.04867753744,1008,1000
35.05638153744,1008,1000
35.06638153744,1008,1000
35.07734053744,1008,1000
35.089627191254,1008,1000
35.09720553744,1008,1000
35.110878543745,1008,1000
35.116381543745,1008,1000
35.128083543745,1008,1000
35.140662543745,1008,1000
35.147034543745,1008,1000
35.157484543745,1008,1000
35.167286543745,1008,1000
35.180203543745,1008,1000
35.187768543745,1008,1000
35.198767543745,1008,1000
35.222638652577,1008,1000
35.229226755047,1008,1000
35.248849027965,1008,1000
35.256054130435,1008,1000
35.260900232905,1008,1000
35.279740335375,1008,1000
35.288529437845,1008,1000
35.305207731043,1008,1000
35.307487860203,1008,1000
35.336094740835,1008,1000
35.344519869995,1008,1000
35.347114999155,1008,1000
35.366095556517,1008,1000
35.380393869995,1008,1000
35.387921556517,1008,1000
35.427270761014,1008,1000
35.42865491682,1008,1000
35.432565072626,1008,1000
35.436381562984,1008,1000
35.455185562984,1008,1000
35.45809671879,1008,1000
35.492286761014,1008,1000
35.512303923344,1008,1000
35.528362105728,1008,1000
35.529791288112,1008,1000
35.532179470496,1008,1000
35.53335665288,1008,1000
35.557662781068,1008,1000
35.573968175012,1008,1000
35.577214569508,1008,1000
35.590045907723,1008,1000
35.599996569508,1008,1000
35.651712025814,1008,1000
35.694853459542,1008,1000
35.699313668416,1008,1000
35.71546112187,1008,1000
35.717903357128,1008,1000
35.744127830308,1008,1000
35.750487065566,1008,1000
35.754649300824,1008,1000
35.761606536082,1008,1000
35.788240009262,1008,1000
35.79113324452,1008,1000
35.811294737294,1008,1000
35.813957998854,1008,1000
35.838449511222,1008,1000
35.854515772782,1008,1000
35.86002502359,1008,1000
35.86226928515,1008,1000
35.86997354671,1008,1000
35.87690380827,1008,1000
35.903511340082,1008,1000
35.905989627874,1008,1000
35.922221915666,1008,1000
35.924403203458,1008,1000
35.92724649125,1008,1000
35.93638159626,1008,1000
35.966575859724,1008,1000
35.972390147516,1008,1000
35.97692659626,1008,1000
36.00388487909,1008,1000
36.007687193094,1008,1000
36.017043603106,1008,1000
36.026953603106,1008,1000
36.042658103218,1008,1000
36.057546379202,1008,1000
36.082518693206,1008,1000
36.08388500721,1008,1000
36.104073616453,1008,1000
36.106056956627,1008,1000
36.137155296801,1008,1000
36.140138636975,1008,1000
36.188965553797,1008,1000
36.195184893971,1008,1000
36.211588541519,1008,1000
36.218303907709,1008,1000
36.220666273899,1008,1000
36.229081640089,1008,1000
36.230439006279,1008,1000
36.235537372469,1008,1000
36.248544039067,1008,1000
36.257295616987,1008,1000
36.266381616987,1008,1000
36.302583936299,1008,1000
36.376997265285,1008,1000
36.379030657401,1008,1000
36.383364049517,1008,1000
36.394782361807,1008,1000
36.402284761023,1008,1000
36.404232179017,1008,1000
36.441341920979,1008,1000
36.449519338973,1008,1000
36.457687756967,1008,1000
36.466937174961,1008,1000
36.485941916923,1008,1000
36.488294334917,1008,1000
36.489750752911,1008,1000
36.492472170905,1008,1000
36.513119596053,1008,1000
36.521595039857,1008,1000
36.543755819131,1008,1000
36.550083262935,1008,1000
36.627207623363,1008,1000
36.645457092951,1008,1000
36.654975562539,1008,1000
36.665967032127,1008,1000
36.669152501715,1008,1000
36.672769971303,1008,1000
36.691217440891,1008,1000
36.701273794994,1008,1000
36.718361290356,1008,1000
36.744218143632,1008,1000
36.751105501546,1008,1000
36.76852185946,1008,1000
36.770631354822,1008,1000
36.794118850184,1008,1000
36.810618721789,1008,1000
36.822202270175,1008,1000
36.825702791263,1008,1000
36.829811312351,1008,1000
36.851450202285,1008,1000
36.857012723373,1008,1000
36.877764244461,1008,1000
36.893934765549,1008,1000
36.897174286637,1008,1000
36.94113122053,1008,1000
36.947562767332,1008,1000
36.951950314134,1008,1000
36.954374860936,1008,1000
36.956565407738,1008,1000
36.974900334162,1008,1000
37.013811658283,1008,1000
37.031547230689,1008,1000
37.051025803095,1008,1000
37.055368375501,1008,1000
37.094640393753,1008,1000
37.11080697375,1008,1000
37.13048257173,1008,1000
37.17721697083,1008,1000
37.18880656881,1008,1000
37.19930616679,1008,1000
37.232714593836,1008,1000
37.234824217258,1008,1000
37.271730627968,1008,1000
37.27844625139,1008,1000
37.300128874812,1008,1000
37.312328620566,1008,1000
37.31662436632,1008,1000
37.325436112074,1008,1000
37.347131857828,1008,1000
37.350833603582,1008,1000
37.366313349336,1008,1000
37.408502161288,1008,1000
37.428851486566,1008,1000
37.432670271048,1008,1000
37.43663305553,1008,1000
37.457440380808,1008,1000
37.490375921604,1008,1000
37.496738706086,1008,1000
37.525766075064,1008,1000
37.555520897946,1008,1000
37.561451720828,1008,1000
37.590899284324,1008,1000
37.618224700902,1008,1000
37.63518414768,1008,1000
37.637864008662,1008,1000
37.663295397953,1008,1000
37.683357258935,1008,1000
37.687014119917,1008,1000
37.699195980899,1008,1000
37.766142628725,1008,1000
37.777275527595,1008,1000
37.780639426465,1008,1000
37.790588325335,1008,1000
37.853352120707,1008,1000
37.891200379699,1008,1000
37.893119316321,1008,1000
37.919478298574,1008,1000
37.93552527275,1008,1000
37.993986548718,1008,1000
38.013658531015,1008,1000
38.015460542441,1008,1000
38.018275553867,1008,1000
38.112478281714,1008,1000
38.209897128699,1008,1000
38.240699841461,1008,1000
38.330938582789,1008,1000
38.352058437023,1008,1000
38.390592299728,1008,1000
38.454282452441,1008,1000
38.468238376247,1008,1000
38.486826534077,1008,1000
38.516037471776,1008,1000
38.518260139576,1008,1000
38.521987859388,1008,1000
38.542629859388,1008,1000
38.565794298668,1008,1000
38.571085492474,1008,1000
38.58196668628,1008,1000
38.587991880086,1008,1000
38.607707721487,1008,1000
38.624149484637,1008,1000
38.628936714199,1008,1000
38.656228781151,1008,1000
38.665346544301,1008,1000
38.674754564189,1008,1000
38.767831114548,1008,1000
38.801571656203,1008,1000
38.839481034087,1008,1000
39.01456784875,1008,1000
39.017527219822,1008,1000
39.063400453482,1008,1000
39.070247687142,1008,1000
39.110268681774,1008,1000
39.133896087772,1008,1000
39.14549449377,1008,1000
39.239569037639,1008,1000
39.274985715601,1008,1000
39.296225270743,1008,1000
39.483124181104,1008,1000
39.498757619982,1008,1000
39.571117815724,1008,1000
39.689463156871,1008,1000
39.759830464929,1008,1000
39.767171075931,1008,1000
39.791184690193,1008,1000
39.823563277124,1008,1000
100.215900266959,1008,1000
100.216532751143,1008,1000
100.217219235327,1008,1000
100.217824719511,1008,1000
100.257945987595,1008,1000
100.295067161057,1008,1000
100.335573374932,1008,1000
100.34302065511,1008,1000
100.346955935288,1008,1000
100.351546363562,1008,1000
100.35213384329,1008,1000
100.411315867676,1008,1000
100.449956373544,1008,1000
100.463078395522,1008,1000
100.466000659204,1008,1000
100.535720998968,1008,1000
100.563192348022,1008,1000
100.601931442828,1008,1000
100.642956546816,1008,1000
100.664437874954,1008,1000
100.668890203092,1008,1000
100.67730045097,1008,1000
100.68998053108,1008,1000
100.691396997092,1008,1000
100.710164065014,1008,1000
100.711993452268,1008,1000
100.75431352593,1008,1000
100.754918987292,1008,1000
100.771078119674,1008,1000
100.772515406506,1008,1000
100.7922344447,1008,1000
100.795539557002,1008,1000
100.81108367079,1008,1000
100.817251883566,1008,1000
100.85244099501,1008,1000
100.873163000168,1008,1000
100.896394031564,1008,1000
100.897858306858,1008,1000
100.918737583646,1008,1000
100.919460035604,1008,1000
100.92756337139,1008,1000
100.953126446342,1008,1000
100.988814521294,1008,1000
101.044415904133,1008,1000
101.047593035523,1008,1000
101.049782547093,1008,1000
101.066243863147,1008,1000
101.092674844225,1008,1000
101.113090997868,1008,1000
101.172145887986,1008,1000
101.172688330336,1008,1000
101.178460630102,1008,1000
101.192378585442,1008,1000
101.207350586741,1008,1000
101.218708571841,1008,1000
101.228722258863,1008,1000
101.253323243963,1008,1000
101.290777278229,1008,1000
101.321279234887,1008,1000
101.347355300581,1008,1000
101.348032733185,1008,1000
