X,frankfurt_urban_multi_radio.MA[0].idLayer/sequenceUpdateCa:vector
208.867649885221,240
209.367649885221,241
209.867649885221,242
210.367649885221,243
210.867649885221,244
211.367649885221,245
211.867649885221,246
212.367649885221,247
212.867649885221,248
213.367649885221,249
213.867649885221,250
214.367649885221,251
214.867649885221,252
215.367649885221,253
215.867649885221,254
216.367649885221,255
216.867649885221,256
217.367649885221,257
217.867649885221,258
218.367649885221,259
218.867649885221,260
219.367649885221,261
219.867649885221,262
220.367649885221,263
220.867649885221,264
221.367649885221,265
221.867649885221,266
222.367649885221,267
222.867649885221,268
223.367649885221,269
223.867649885221,270
224.367649885221,271
224.867649885221,272
225.367649885221,273
225.867649885221,274
226.367649885221,275
226.867649885221,276
227.367649885221,277
227.867649885221,278
228.367649885221,279
228.867649885221,280
229.030452617872,281
229.530452617872,282
230.030452617872,283
230.17941449305,284
266.050130874905,285
267.372118376225,286
269.223664044146,287
298.16480590402,288
298.66480590402,289
299.16480590402,290
299.66480590402,291
300.16480590402,292
300.66480590402,293
301.16480590402,294
301.66480590402,295
302.16480590402,296
302.66480590402,297
303.16480590402,298
303.66480590402,299
304.16480590402,300
304.66480590402,301
305.16480590402,302
305.66480590402,303
306.16480590402,304
306.66480590402,305
307.16480590402,306
307.66480590402,307
308.16480590402,308
308.66480590402,309
309.16480590402,310
309.66480590402,311
310.16480590402,312
310.66480590402,313
311.16480590402,314
311.66480590402,315
312.16480590402,316
312.66480590402,317
313.16480590402,318
313.66480590402,319
314.16480590402,320
314.66480590402,321
315.16480590402,322
315.66480590402,323
316.16480590402,324
316.66480590402,325
317.16480590402,326
317.66480590402,327
318.16480590402,328
318.66480590402,329
319.16480590402,330
319.66480590402,331
320.16480590402,332
320.66480590402,333
321.16480590402,334
321.66480590402,335
322.16480590402,336
322.66480590402,337
323.16480590402,338
323.66480590402,339
324.16480590402,340
324.66480590402,341
325.16480590402,342
325.66480590402,343
326.16480590402,344
326.66480590402,345
327.16480590402,346
327.66480590402,347
328.16480590402,348
328.66480590402,349
329.16480590402,350
329.66480590402,351
