X,frankfurt_urban_multi_radio.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban_multi_radio.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
38.842016566699,1008,1000
38.861677020569,1008,1000
38.898638474439,1008,1000
38.91523593557,1008,1000
38.956059403962,1008,1000
38.960101872354,1008,1000
38.960763340746,1008,1000
39.005469816402,1008,1000
39.024774299322,1008,1000
39.055737782242,1008,1000
39.076244265162,1008,1000
39.101673755343,1008,1000
39.128063252785,1008,1000
39.231865260033,1008,1000
39.269223771971,1008,1000
39.355194291187,1008,1000
39.394951817681,1008,1000
39.395595344175,1008,1000
39.462093877928,1008,1000
39.49309541894,1008,1000
39.533208967226,1008,1000
39.593815522786,1008,1000
39.623014085606,1008,1000
39.697707655686,1008,1000
39.713602233016,1008,1000
39.859353409442,1008,1000
39.901844015808,1008,1000
39.903581629428,1008,1000
39.954311243048,1008,1000
39.988445856668,1008,1000
40.004173477564,1008,1000
40.024991105736,1008,1000
40.090169733908,1008,1000
40.14938836934,1008,1000
40.292389019113,1008,1000
40.293059675967,1008,1000
40.368780682235,1008,1000
40.482233358519,1008,1000
40.517660048942,1008,1000
40.523941048942,1008,1000
40.644288753861,1008,1000
40.731327473264,1008,1000
40.7535201999,1008,1000
40.756135926536,1008,1000
40.761070653172,1008,1000
40.789778379808,1008,1000
41.013900128197,1008,1000
41.040147898339,1008,1000
41.043677668481,1008,1000
41.081697438623,1008,1000
41.086448208765,1008,1000
41.104798986151,1008,1000
41.275933778032,1008,1000
41.318088383525,1008,1000
41.422130204357,1008,1000
41.524540039684,1008,1000
100.614119526293,1008,1000
100.614725824939,1008,1000
100.615586684058,1008,1000
100.625586684058,1008,1000
100.636293684058,1008,1000
100.646629294158,1008,1000
100.656140684058,1008,1000
100.669755663772,1008,1000
100.6756425526,1008,1000
100.685595727323,1008,1000
100.696176684058,1008,1000
100.70558669337,1008,1000
100.71643769337,1008,1000
100.725798314788,1008,1000
100.73869769337,1008,1000
100.74558669337,1008,1000
100.75558669337,1008,1000
100.76558669337,1008,1000
100.775873067664,1008,1000
100.78558669337,1008,1000
100.79558669337,1008,1000
100.806581702653,1008,1000
100.816428702653,1008,1000
100.826145829823,1008,1000
100.839219702653,1008,1000
100.848247702653,1008,1000
100.855586702653,1008,1000
100.865586702653,1008,1000
100.876599702653,1008,1000
100.885586702653,1008,1000
100.895586702653,1008,1000
100.911591711933,1008,1000
100.915586711933,1008,1000
100.925586711933,1008,1000
100.935586711933,1008,1000
100.946392711933,1008,1000
100.955586711933,1008,1000
100.969534711933,1008,1000
100.975646847474,1008,1000
100.986167711933,1008,1000
101.003184721236,1008,1000
