X,frankfurt_urban_n_vehicles_mipv6.MA[1].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles_mipv6.MA[1].udpApp[0]/rcvdPk:vector(packetBytes)
36.871065163115,1008,1000
36.890360205621,1008,1000
36.899847464184,1008,1000
36.912808747482,1008,1000
36.927031805784,1008,1000
36.956249864086,1008,1000
36.987361150202,1008,1000
37.008533211217,1008,1000
37.039346284965,1008,1000
37.113659768394,1008,1000
37.136287274104,1008,1000
37.145563622596,1008,1000
37.14610729443,1008,1000
37.172506966264,1008,1000
37.186696251134,1008,1000
37.200343861869,1008,1000
37.238225241181,1008,1000
37.273589344643,1008,1000
37.301642450513,1008,1000
37.362680296479,1008,1000
37.364663414247,1008,1000
37.367894388069,1008,1000
37.396958797963,1008,1000
37.412543790498,1008,1000
37.452573922148,1008,1000
37.469017362336,1008,1000
37.491969247876,1008,1000
37.503901244909,1008,1000
37.523636715039,1008,1000
37.554083860109,1008,1000
37.637200470533,1008,1000
37.656184628719,1008,1000
37.668098128603,1008,1000
37.678603823575,1008,1000
37.698074958287,1008,1000
37.699447653259,1008,1000
37.733051002365,1008,1000
37.787425531781,1008,1000
37.803466704661,1008,1000
37.834508887983,1008,1000
37.857202590923,1008,1000
37.902892151571,1008,1000
37.915647347041,1008,1000
37.935081542511,1008,1000
37.941071130485,1008,1000
37.941704837173,1008,1000
37.945651032643,1008,1000
37.970271598181,1008,1000
37.988377793651,1008,1000
37.991899477903,1008,1000
38.007677573671,1008,1000
38.034179512486,1008,1000
38.052376222754,1008,1000
38.056112342748,1008,1000
38.098422549986,1008,1000
38.105520185975,1008,1000
38.147728336523,1008,1000
38.170351982141,1008,1000
38.193893200677,1008,1000
38.222833847888,1008,1000
38.243140077412,1008,1000
38.316786828863,1008,1000
38.323183548721,1008,1000
38.331242020697,1008,1000
38.385540476515,1008,1000
38.391057716767,1008,1000
38.42192842193,1008,1000
38.440836672554,1008,1000
38.450383875274,1008,1000
38.469529376786,1008,1000
38.474218107346,1008,1000
38.520131610217,1008,1000
38.556685125183,1008,1000
38.583849175245,1008,1000
38.595235188073,1008,1000
38.600021200901,1008,1000
38.679575809555,1008,1000
38.684234079861,1008,1000
38.710629992699,1008,1000
38.732133097781,1008,1000
38.766093479121,1008,1000
38.840160599528,1008,1000
38.866812332486,1008,1000
