X,frankfurt_urban_n_vehicles.MA[1].tcp/rcvd seq,frankfurt_urban_n_vehicles.MA[1].tcp/rcvd seq_0
108.336510257191,2.68517e+07,
108.337106316899,2.68517e+07,
108.394919568041,2.68517e+07,
108.398865435627,2.68517e+07,
108.399474482571,2.68517e+07,
108.478255838995,2.68518e+07,
108.479392873089,2.68518e+07,
108.480493907183,2.68518e+07,
108.480928941277,2.68518e+07,
108.481859482633,2.68518e+07,
108.482746009465,2.68518e+07,
108.485578077653,2.68518e+07,
108.486431111747,2.68518e+07,
108.486920145841,2.68518e+07,
108.487508179935,2.68518e+07,
108.487925214029,2.68518e+07,
108.491120248123,2.68518e+07,
108.491627282217,2.68518e+07,
108.492206316311,2.68518e+07,
108.550006177915,2.68518e+07,
108.554544765491,2.68518e+07,
108.555072786649,2.68518e+07,
108.633854123634,2.68519e+07,
108.634955131786,2.68519e+07,
108.63559916595,2.68519e+07,
108.637117187108,2.68519e+07,
108.639550208266,2.68519e+07,
108.641489216418,2.68519e+07,
108.64187922457,2.68519e+07,
108.642476232722,2.68519e+07,
108.643852240874,2.68519e+07,
108.644350249026,2.68519e+07,
108.644839257178,2.68519e+07,
108.64538226533,2.68519e+07,
108.646884273482,2.68519e+07,
108.647472281634,2.68519e+07,
108.703057334283,2.68519e+07,
108.704556827799,2.68519e+07,
108.705039822921,2.68519e+07,
108.783821140373,2.6852e+07,
108.784907135495,2.6852e+07,
108.786066130617,2.6852e+07,
108.786600125739,2.6852e+07,
108.787548740355,2.6852e+07,
108.788190735477,2.6852e+07,
108.791056730599,2.6852e+07,
108.791482725721,2.6852e+07,
108.792142720843,2.6852e+07,
108.792604715965,2.6852e+07,
108.793428091593,2.6852e+07,
108.793979086715,2.6852e+07,
108.794495081837,2.6852e+07,
108.795137076959,2.6852e+07,
108.852914956815,2.6852e+07,
108.854427784271,2.6852e+07,
108.855009766277,2.6852e+07,
108.934326064031,2.68521e+07,
108.935664046037,2.68521e+07,
108.936607014879,2.68521e+07,
108.937095983721,2.68521e+07,
108.937755952563,2.68521e+07,
108.938154921405,2.68521e+07,
108.940588890247,2.68521e+07,
108.941239859089,2.68521e+07,
108.941737827931,2.68521e+07,
108.942145796773,2.68521e+07,
108.943440765615,2.68521e+07,
108.945464734457,2.68521e+07,
108.946822703299,2.68521e+07,
108.947410672141,2.68521e+07,
109.003511235316,2.68521e+07,
109.005443018323,2.68521e+07,
109.006051974027,2.68521e+07,
109.084833252061,2.68522e+07,
109.085754207765,2.68522e+07,
109.086216163469,2.68522e+07,
109.088024119173,2.68522e+07,
109.088639074877,2.68522e+07,
109.089290030581,2.68522e+07,
109.090575986285,2.68522e+07,
109.091037941989,2.68522e+07,
109.091580897693,2.68522e+07,
109.092141853397,2.68522e+07,
109.092747809101,2.68522e+07,
109.094078764805,2.68522e+07,
109.094630720509,2.68522e+07,
109.095121676213,2.68522e+07,
109.153874410353,2.68522e+07,
109.155227772961,2.68522e+07,
109.155701715817,2.68522e+07,
109.234482974538,2.68523e+07,
109.235601904464,2.68523e+07,
109.241327764316,2.68523e+07,
109.241933694242,2.68523e+07,
109.242476624168,2.68523e+07,
